Price,Close,High,Low,Open,Volume,log_ret,vol_7,vol_14,vol_30,vol_chg_7,log_vol,rv_14
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,,,,
2016-01-01,434.3340148925781,436.2460021972656,427.5150146484375,430.72100830078125,36278900,0.00871094524036167,0.03785197336488923,0.02985040585806936,0.03231413702385675,0.015790977584759624,17.406746890580397,0.029135280776485337
2016-01-02,433.43798828125,436.06201171875,431.8699951171875,434.62200927734375,30096600,-0.0020651206226820714,0.012783981294853069,0.029854551215936307,0.03235008247588301,-0.02636475114850489,17.219922799754716,0.02681055559036699
2016-01-03,430.010986328125,433.7430114746094,424.70599365234375,433.5780029296875,39633800,-0.007937979079086463,0.013132818613176729,0.02773918819152963,0.032451402157887145,-0.02491720651494056,17.495192872755073,0.02676607345584881
2016-01-04,433.09100341796875,434.5169982910156,429.0840148925781,430.0610046386719,38477500,0.007137117514959161,0.013123720172958079,0.027760437318055903,0.030205318255053414,-0.02495255458980305,17.46558423882546,0.026745418970436297
2016-01-05,431.9599914550781,434.1820068359375,429.6759948730469,433.0690002441406,34522600,-0.002614903893657051,0.00916629312115997,0.027743866393307056,0.030217974007251243,-0.03062437701400756,17.357124768965576,0.026568644067365196
2016-01-06,429.1050109863281,431.8559875488281,426.34100341796875,431.8559875488281,34042500,-0.006631301754831982,0.007358647996228033,0.02747864608261436,0.030158532469016452,-0.03214726350775518,17.343120331355912,0.030887239584246728
2016-01-07,458.0480041503906,458.7659912109375,429.0769958496094,430.010986328125,87562200,0.06527232134918742,0.025685669105399673,0.03204934461228348,0.03112976246340774,-0.011767044087339761,18.28785996735189,0.031013780370316404
2016-01-08,453.2300109863281,462.9339904785156,447.93798828125,457.5379943847656,56993000,-0.010574244034119464,0.02671528097732277,0.032182094174390774,0.031229661157754548,-0.011136692387566458,17.858439028785895,0.020493225157692044
2016-01-09,447.6109924316406,454.6400146484375,446.8890075683594,453.38299560546875,32278000,-0.012475212401743629,0.027522069679825765,0.0206207413704784,0.03132313546072994,0.014738088384972696,17.28989647255876,0.020188065957324933
2016-01-10,447.9909973144531,448.3089904785156,440.35101318359375,448.2380065917969,35995900,0.0008486021915259452,0.027051462059243372,0.02050707141387326,0.02726698938888235,0.013918643446066643,17.398915628826604,0.020186815483683705
